,model,tn,fp,fn,tp,accuracy,recall,f1_score
0,Logistic Regression,407337,17087,4,6116,0.9603037087963135,0.9993464052287582,0.41714694949357156
1,SVM,424036,388,1,6119,0.9990964918800401,0.9998366013071895,0.9691929991288509
2,Gradient Boosting Classifier,424136,288,108,6012,0.9990802333791668,0.9823529411764705,0.9681159420289855
